1,平成27年国勢調査　小地域集計　（総務省統計局）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,第3表　年齢（5歳階級），男女別人口，総年齢及び平均年齢(外国人―特掲）－町丁・字等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) 日本人・外国人の別「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) 無国籍及び国名「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,総数（男女別）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2)
7,"06201","","1","","","","山形県","山形市","","",253832,9978,10558,11333,12686,12189,12149,14426,16768,18056,16045,15595,15952,17405,18391,14458,12591,11025,7804,3527,842,107,1947,11669722,46.8295630943,31869,151271,68745,35896,12280,1037,121575,5084,5473,5757,6316,5611,5904,7177,8395,8994,8034,7691,7827,8521,8995,6805,5694,4417,2621,873,178,17,1191,5394049,45.3070258506,16314,74470,29600,13800,3689,351,132257,4894,5085,5576,6370,6578,6245,7249,8373,9062,8011,7904,8125,8884,9396,7653,6897,6608,5183,2654,664,90,756,6275673,48.2233861339,15555,76801,39145,22096,8591,686
8,"06201","0010","2","","","","山形県","山形市","相生町","",751,20,39,26,33,23,27,28,52,44,53,53,59,60,60,53,36,38,30,6,3,1,7,36659,49.7728494624,85,432,227,114,40,5,347,10,20,12,15,13,15,16,19,24,24,25,24,29,31,20,22,11,11,2,-,-,4,16259,47.9023323615,42,204,97,46,13,2,404,10,19,14,18,10,12,12,33,20,29,28,35,31,29,33,14,27,19,4,3,1,3,20400,51.3728179551,43,228,130,68,27,3
9,"06201","0020","2","","","","山形県","山形市","青田","",1986,81,93,118,104,98,84,104,153,159,157,99,118,119,123,126,101,69,41,17,1,-,21,86685,44.6145038168,292,1195,478,229,59,3,952,44,43,66,55,42,41,49,71,72,79,56,55,54,62,53,50,29,16,6,-,-,9,40625,43.5805938494,153,574,216,101,22,-,1034,37,50,52,49,56,43,55,82,87,78,43,63,65,61,73,51,40,25,11,1,-,12,46060,45.5684931507,139,621,262,128,37,3
10,"06201","002001","3","","","","山形県","山形市","青田","１丁目",417,21,16,21,27,18,15,14,36,47,28,27,21,29,23,23,26,7,14,4,-,-,-,18480,44.8165467626,58,262,97,51,18,2,201,12,9,15,11,11,7,7,17,20,10,15,11,14,13,6,13,1,6,3,-,-,-,8489,42.7338308458,36,123,42,23,9,-,216,9,7,6,16,7,8,7,19,27,18,12,10,15,10,17,13,6,8,1,-,-,-,9991,46.7546296296,22,139,55,28,9,2
11,"06201","002002","3","","","","山形県","山形市","青田","２丁目",423,17,25,31,17,27,21,27,37,33,29,20,22,24,24,24,14,14,8,4,1,-,4,17521,42.3162291169,73,257,89,41,13,-,195,8,11,19,9,11,10,14,18,15,13,12,7,12,10,11,6,5,1,2,-,-,1,7706,40.2216494845,38,121,35,14,3,-,228,9,14,12,8,16,11,13,19,18,16,8,15,12,14,13,8,9,7,2,1,-,3,9815,44.1222222222,35,136,54,27,10,-
12,"06201","002003","3","","","","山形県","山形市","青田","３丁目",310,8,12,24,16,11,15,14,18,24,24,12,27,29,19,20,11,10,9,3,-,-,4,13960,46.1209150327,44,190,72,33,12,-,156,6,2,16,9,8,7,7,7,11,15,5,12,14,9,10,8,3,5,1,-,-,1,6929,45.2032258065,24,95,36,17,6,-,154,2,10,8,7,3,8,7,11,13,9,7,15,15,10,10,3,7,4,2,-,-,3,7031,47.0629139073,20,95,36,16,6,-
13,"06201","002004","3","","","","山形県","山形市","青田","４丁目",339,16,25,15,13,13,13,27,31,24,25,17,21,16,20,17,15,15,7,2,-,-,7,14270,43.4819277108,56,200,76,39,9,-,165,8,14,7,6,4,4,13,16,12,14,9,14,7,10,7,8,8,2,-,-,-,2,6978,43.3098159509,29,99,35,18,2,-,174,8,11,8,7,9,9,14,15,12,11,8,7,9,10,10,7,7,5,2,-,-,5,7292,43.6479289941,27,101,41,21,7,-
14,"06201","002005","3","","","","山形県","山形市","青田","５丁目",497,19,15,27,31,29,20,22,31,31,51,23,27,21,37,42,35,23,3,4,-,-,6,22454,46.2311608961,61,286,144,65,7,1,235,10,7,9,20,8,13,8,13,14,27,15,11,7,20,19,15,12,2,-,-,-,5,10523,46.2521739130,26,136,68,29,2,-,262,9,8,18,11,21,7,14,18,17,24,8,16,14,17,23,20,11,1,4,-,-,1,11931,46.2126436782,35,150,76,36,5,1
15,"06201","0030","2","","","","山形県","山形市","あかねケ丘","",1991,96,86,91,69,69,117,128,135,155,146,119,125,127,153,131,90,78,48,14,1,-,13,89916,45.9580384226,273,1190,515,231,63,8,989,56,47,48,37,37,54,65,62,85,72,65,60,65,72,56,45,31,19,5,-,-,8,43060,44.3939857288,151,602,228,100,24,2,1002,40,39,43,32,32,63,63,73,70,74,54,65,62,81,75,45,47,29,9,1,-,5,46856,47.4969909729,122,588,287,131,39,6
16,"06201","003001","3","","","","山形県","山形市","あかねケ丘","１丁目",569,40,24,17,15,24,46,49,41,45,46,39,38,33,35,20,19,20,8,3,-,-,7,23680,42.6352313167,81,376,105,50,11,3,297,22,15,8,8,11,17,23,22,26,25,25,22,18,18,10,10,8,4,1,-,-,4,12354,42.6638225256,45,197,51,23,5,2,272,18,9,9,7,13,29,26,19,19,21,14,16,15,17,10,9,12,4,2,-,-,3,11326,42.6040892193,36,179,54,27,6,1
